id,market,pick_name,sport,league,bet_type,picks_count,is_live
69477b2e9adaa364587bfba0,1st Half Moneyline,Brose Bamberg · Live Moneyline 1st Half,Basketball,,straight,1.0,False
69477b2e9adaa364587bfba4,Total,Over 173.5 · Live Total,Basketball,,straight,1.0,False
69477b2e9adaa364587bfba5,Total,Over 38.5 · Live Total 1st Quarter,Basketball,,straight,1.0,False
69477b2f9adaa364587bfbcb,Spread,Science City Jena +10.5 · Live Spread,Basketball,,straight,1.0,False
69477b2f9adaa364587bfbcf,Total,Over 162.5 · Live Total,Basketball,,straight,1.0,False
69477b2f9adaa364587bfbd0,Moneyline,JL Bourg · Live Moneyline,Basketball,,straight,1.0,False
69477b2f9adaa364587bfbd2,1st Half Moneyline,JL Bourg · Live Moneyline 1st Half,Basketball,,straight,1.0,False
69477b2f9adaa364587bfbd3,Total,Under 43.5 · Live Total 1st Quarter,Basketball,,straight,1.0,False
694801750f260f8d974ad771,Total,Over 36.5 · Live Hamburg Towers: Team Total Points - 1st Half,Basketball,,straight,1.0,False
694801750f260f8d974ad772,Spread,Qingdao +6.5 · Live Spread,Basketball,,straight,1.0,False
694801750f260f8d974ad773,Moneyline,Jiangsu Dragons · Live Moneyline,Basketball,,straight,1.0,False
694801750f260f8d974ad774,Total,Under 40.5 · Live Total 1st Quarter,Basketball,,straight,1.0,False
694801750f260f8d974ad775,Moneyline,FC Barcelona · Live Moneyline,Basketball,,straight,1.0,False
694801750f260f8d974ad776,Spread,Qingdao +10.5 · Live Spread,Basketball,,straight,1.0,False
694801750f260f8d974ad777,Total,Under 44.5 · Live Qingdao: Team Total Points - 1st Half,Basketball,,straight,1.0,False
694801750f260f8d974ad779,Total,Over 40.5 · Live Total 3rd Quarter,Basketball,,straight,1.0,False
694801750f260f8d974ad77a,Total,Under 35.5 · Live Lighthouse Trapani: Team Total Points - 1st Half,Basketball,,straight,1.0,False
694801750f260f8d974ad77b,Total,Under 193.5 · Live Total,Basketball,,straight,1.0,False
694801750f260f8d974ad77c,Total,Under 58.5 · Live Zhejiang Guangsha: Team Total Points - 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319b3,Total,Over 139.5 · Live Total,Basketball,,straight,1.0,False
6948569c56a7d5960f5319b4,1st Half Moneyline,Trieste · Live Moneyline 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319b5,Total,Under 169.5 · Live Total,Basketball,,straight,1.0,False
6948569c56a7d5960f5319b8,Total,Under 43.5 · Live Reggiana: Team Total Points - 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319b9,1st Half Moneyline,Valencia Basket Club · Live Moneyline 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319ba,3rd Quarter Moneyline,Valencia Basket Club · Live Moneyline 3rd Quarter,Basketball,,straight,1.0,False
6948569c56a7d5960f5319bb,Total,Under 41.5 · Live Universo Treviso: Team Total Points - 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319bc,1st Half Moneyline,Valencia Basket Club · Live Moneyline 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319bd,3rd Quarter Moneyline,Valencia Basket Club · Live Moneyline 3rd Quarter,Basketball,,straight,1.0,False
6948569c56a7d5960f5319be,Total,Under 57.5 · Live Umana Reyer Venezia: Team Total Points - 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319bf,Spread,Valencia Basket Club +9.5 · Live Spread,Basketball,,straight,1.0,False
6948569c56a7d5960f5319c0,Total,Over 166.5 · Live Total,Basketball,,straight,1.0,False
6948569c56a7d5960f5319c1,Total,Over 41.5 · Live Le Portel: Team Total Points - 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319c2,Total,Over 40.5 · Live UCAM Murcia CB: Team Total Points - 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319c3,Total,Under 42.5 · Live Basketball Lowen Braunschweig: Team Total Points - 1st Half,Basketball,,straight,1.0,False
6948569c56a7d5960f5319c5,Total,Over 166.5 · Live Total,Basketball,,straight,1.0,False
test_675f9999999999999999999,,,,,straight,,False
